title,authors,abstract,url,keywords,category,citations,publication
Realizing a Symmetry Protected Topological Phase in a Superconducting Circuit,"Parameshwar R. Pasnoori, Patrick Azaria, Ari Mizel","We propose a superconducting quantum circuit whose low-energy degrees of freedom are described by the sine-Gordon (SG) quantum field theory. For suitably chosen parameters,   the circuit hosts a symmetry protected topological (SPT) phase protected by a discrete $\mathbb{Z}_2$ symmetry. The ground state of the system is twofold degenerate and exhibits local spontaneous symmetry breaking of the $\mathbb{Z}_2$ symmetry close to the edges of the circuit, leading to spontaneous localized edge supercurrents. The ground states host Majorana zero modes (MZM) at the edges of the circuit. On top of each of the two ground states, the system exhibits localized bound states at both edges, which are topologically protected against small disorder in the bulk. The spectrum of these boundary excitations should be observable in a circuit-QED experiment with feasible parameter choices.",http://arxiv.org/abs/2503.13406v1,"degrees, freedom, circuit, energy, quantum",Quantum Computing & Information,484,2008
Fed-Joint: Joint Modeling of Nonlinear Degradation Signals and Failure Events for Remaining Useful Life Prediction using Federated Learning,"Cheoljoon Jeong, Xubo Yue, Seokhyun Chung","Many failure mechanisms of machinery are closely related to the behavior of condition monitoring (CM) signals. To achieve a cost-effective preventive maintenance strategy, accurate remaining useful life (RUL) prediction based on the signals is of paramount importance. However, the CM signals are often recorded at different factories and production lines, with limited amounts of data. Unfortunately, these datasets have rarely been shared between the sites due to data confidentiality and ownership issues, a lack of computing and storage power, and high communication costs associated with data transfer between sites and a data center. Another challenge in real applications is that the CM signals are often not explicitly specified \textit{a priori}, meaning that existing methods, which often usually a parametric form, may not be applicable. To address these challenges, we propose a new prognostic framework for RUL prediction using the joint modeling of nonlinear degradation signals and time-to-failure data within a federated learning scheme. The proposed method constructs a nonparametric degradation model using a federated multi-output Gaussian process and then employs a federated survival model to predict failure times and probabilities for in-service machinery. The superiority of the proposed method over other alternatives is demonstrated through comprehensive simulation studies and a case study using turbofan engine degradation signal data that include run-to-failure events.",http://arxiv.org/abs/2503.13404v1,"machinery, condition, mechanisms, behavior, failure","Machine Learning & AI in Quantum, Quantum Machine Learning",1092,2014
Using the Tools of Cognitive Science to Understand Large Language Models at Different Levels of Analysis,"Alexander Ku, Declan Campbell, Xuechunzi Bai, Jiayi Geng, Ryan Liu, Raja Marjieh, R. Thomas McCoy, Andrew Nam, Ilia Sucholutsky, Veniamin Veselovsky, Liyi Zhang, Jian-Qiao Zhu, Thomas L. Griffiths","Modern artificial intelligence systems, such as large language models, are increasingly powerful but also increasingly hard to understand. Recognizing this problem as analogous to the historical difficulties in understanding the human mind, we argue that methods developed in cognitive science can be useful for understanding large language models. We propose a framework for applying these methods based on Marr's three levels of analysis. By revisiting established cognitive science techniques relevant to each level and illustrating their potential to yield insights into the behavior and internal organization of large language models, we aim to provide a toolkit for making sense of these new kinds of minds.",http://arxiv.org/abs/2503.13401v1,"systems, models, problem, intelligence, language",Machine Learning & AI in Quantum,2568,2014
MicroVQA: A Multimodal Reasoning Benchmark for Microscopy-Based Scientific Research,"James Burgess, Jeffrey J Nirschl, Laura Bravo-S?nchez, Alejandro Lozano, Sanket Rajan Gupte, Jesus G. Galaz-Montoya, Yuhui Zhang, Yuchang Su, Disha Bhowmik, Zachary Coman, Sarina M. Hasan, Alexandra Johannesson, William D. Leineweber, Malvika G Nair, Ridhi Yarlagadda, Connor Zuraski, Wah Chiu, Sarah Cohen, Jan N. Hansen, Manuel D Leonetti, Chad Liu, Emma Lundberg, Serena Yeung-Levy","Scientific research demands sophisticated reasoning over multimodal data, a challenge especially prevalent in biology. Despite recent advances in multimodal large language models (MLLMs) for AI-assisted research, existing multimodal reasoning benchmarks only target up to college-level difficulty, while research-level benchmarks emphasize lower-level perception, falling short of the complex multimodal reasoning needed for scientific discovery. To bridge this gap, we introduce MicroVQA, a visual-question answering (VQA) benchmark designed to assess three reasoning capabilities vital in research workflows: expert image understanding, hypothesis generation, and experiment proposal. MicroVQA consists of 1,042 multiple-choice questions (MCQs) curated by biology experts across diverse microscopy modalities, ensuring VQA samples represent real scientific practice. In constructing the benchmark, we find that standard MCQ generation methods induce language shortcuts, motivating a new two-stage pipeline: an optimized LLM prompt structures question-answer pairs into MCQs; then, an agent-based `RefineBot' updates them to remove shortcuts. Benchmarking on state-of-the-art MLLMs reveal a peak performance of 53\%; models with smaller LLMs only slightly underperform top models, suggesting that language-based reasoning is less challenging than multimodal reasoning; and tuning with scientific articles enhances performance. Expert analysis of chain-of-thought responses shows that perception errors are the most frequent, followed by knowledge errors and then overgeneralization errors. These insights highlight the challenges in multimodal scientific reasoning, showing MicroVQA is a valuable resource advancing AI-driven biomedical research. MicroVQA is available at https://huggingface.co/datasets/jmhb/microvqa, and project page at https://jmhb0.github.io/microvqa.",http://arxiv.org/abs/2503.13399v1,"data, biology, challenge, reasoning, research","Machine Learning & AI in Quantum, Quantum Machine Learning",2057,2025
Investigating the effect of CPT in lateral spreading prediction using Explainable AI,"Cheng-Hsi Hsiao, Ellen Rathje, Krishna Kumar","This study proposes an autoencoder approach to extract latent features from cone penetration test profiles to evaluate the potential of incorporating CPT data in an AI model. We employ autoencoders to compress 200 CPT profiles of soil behavior type index (Ic) and normalized cone resistance (qc1Ncs) into ten latent features while preserving critical information. We then utilize the extracted latent features with site parameters to train XGBoost models for predicting lateral spreading occurrences in the 2011 Christchurch earthquake. Models using the latent CPT features outperformed models with conventional CPT metrics or no CPT data, achieving over 83% accuracy. Explainable AI revealed the most crucial latent feature corresponding to soil behavior between 1-3 meter depths, highlighting this depth range's criticality for liquefaction evaluation. The autoencoder approach provides an automated technique for condensing CPT profiles into informative latent features for machine-learning liquefaction models.",http://arxiv.org/abs/2503.13389v1,"features, study, latent, approach, autoencoder",Quantum Machine Learning,2757,2009
A mathematical model for a universal digital quantum computer with an application to the Grover-Rudolph algorithm,"Antonio Falc?, Daniela Falc?--Pomares, Hermann G. Matthies","In this work, we develop a novel mathematical framework for universal digital quantum computation using algebraic probability theory. We rigorously define quantum circuits as finite sequences of elementary quantum gates and establish their role in implementing unitary transformations. A key result demonstrates that every unitary matrix in \(\mathrm{U}(N)\) can be expressed as a product of elementary quantum gates, leading to the concept of a universal dictionary for quantum computation. We apply this framework to the construction of quantum circuits that encode probability distributions, focusing on the Grover-Rudolph algorithm. By leveraging controlled quantum gates and rotation matrices, we design a quantum circuit that approximates a given probability density function. Numerical simulations, conducted using Qiskit, confirm the theoretical predictions and validate the effectiveness of our approach. These results provide a rigorous foundation for quantum circuit synthesis within an algebraic probability framework and offer new insights into the encoding of probability distributions in quantum algorithms. Potential applications include quantum machine learning, circuit optimization, and experimental implementations on real quantum hardware.",http://arxiv.org/abs/2503.13388v1,"computation, probability, work, quantum, framework",Quantum Computing & Information,985,2012
Scale Efficient Training for Large Datasets,"Qing Zhou, Junyu Gao, Qi Wang","The rapid growth of dataset scales has been a key driver in advancing deep learning research. However, as dataset scale increases, the training process becomes increasingly inefficient due to the presence of low-value samples, including excessive redundant samples, overly challenging samples, and inefficient easy samples that contribute little to model improvement.To address this challenge, we propose Scale Efficient Training (SeTa) for large datasets, a dynamic sample pruning approach that losslessly reduces training time. To remove low-value samples, SeTa first performs random pruning to eliminate redundant samples, then clusters the remaining samples according to their learning difficulty measured by loss. Building upon this clustering, a sliding window strategy is employed to progressively remove both overly challenging and inefficient easy clusters following an easy-to-hard curriculum.We conduct extensive experiments on large-scale synthetic datasets, including ToCa, SS1M, and ST+MJ, each containing over 3 million samples.SeTa reduces training costs by up to 50\% while maintaining or improving performance, with minimal degradation even at 70\% cost reduction. Furthermore, experiments on various scale real datasets across various backbones (CNNs, Transformers, and Mambas) and diverse tasks (instruction tuning, multi-view stereo, geo-localization, composed image retrieval, referring image segmentation) demonstrate the powerful effectiveness and universality of our approach. Code is available at https://github.com/mrazhou/SeTa.",http://arxiv.org/abs/2503.13385v1,"learning, research, driver, growth, scales","Machine Learning & AI in Quantum, Quantum Machine Learning",1816,2018
"Cream of the Crop: Harvesting Rich, Scalable and Transferable Multi-Modal Data for Instruction Fine-Tuning","Mengyao Lyu, Yan Li, Huasong Zhong, Wenhao Yang, Hui Chen, Jungong Han, Guiguang Ding, Zhenheng Yang","The hypothesis that pretrained large language models (LLMs) necessitate only minimal supervision during the fine-tuning (SFT) stage (Zhou et al., 2024) has been substantiated by recent advancements in data curation and selection research. However, their stability and generalizability are compromised due to the vulnerability to experimental setups and validation protocols, falling short of surpassing random sampling (Diddee & Ippolito, 2024; Xia et al., 2024b). Built upon LLMs, multi-modal LLMs (MLLMs), combined with the sheer token volume and heightened heterogeneity of data sources, amplify both the significance and complexity of data selection.   To harvest multi-modal instructional data in a robust and efficient manner, we re-define the granularity of the quality metric by decomposing it into 14 vision-language-related capabilities, and introduce multi-modal rich scorers to evaluate the capabilities of each data candidate. To promote diversity, in light of the inherent objective of the alignment stage, we take interaction style as diversity indicator and use a multi-modal rich styler to identify data instruction patterns. In doing so, our multi-modal rich scorers and styler (mmSSR) guarantee that high-scoring information is conveyed to users in diversified forms. Free from embedding-based clustering or greedy sampling, mmSSR efficiently scales to millions of data with varying budget constraints, supports customization for general or specific capability acquisition, and facilitates training-free generalization to new domains for curation. Across 10+ experimental settings, validated by 14 multi-modal benchmarks, we demonstrate consistent improvements over random sampling, baseline strategies and state-of-the-art selection methods, achieving 99.1% of full performance with only 30% of the 2.6M data.",http://arxiv.org/abs/2503.13383v1,"supervision, models, llms, hypothesis, language","Machine Learning & AI in Quantum, Quantum Machine Learning",199,2006
Error bounds for composite quantum hypothesis testing and a new characterization of the weighted Kubo-Ando geometric means,"P?ter E. Frenkel, Mil?n Mosonyi, P?ter Vrana, Mih?ly Weiner","The optimal error exponents of binary composite i.i.d. state discrimination are trivially bounded by the worst-case pairwise exponents of discriminating individual elements of the sets representing the two hypotheses, and in the finite-dimensional classical case, these bounds in fact give exact single-copy expressions for the error exponents. In contrast, in the non-commutative case, the optimal exponents are only known to be expressible in terms of regularized divergences, resulting in formulas that, while conceptually relevant, practically not very useful. In this paper, we develop further an approach initiated in [Mosonyi, Szil\'agyi, Weiner, IEEE Trans. Inf. Th. 68(2):1032--1067, 2022] to give improved single-copy bounds on the error exponents by comparing not only individual states from the two hypotheses, but also various unnormalized positive semi-definite operators associated to them. Here, we show a number of equivalent characterizations of such operators giving valid bounds, and show that in the commutative case, considering weighted geometric means of the states, and in the case of two states per hypothesis, considering weighted Kubo-Ando geometric means, are optimal for this approach. As a result, we give a new characterization of the weighted Kubo-Ando geometric means as the only $2$-variable operator geometric means that are block additive, tensor multiplicative, and satisfy the arithmetic-geometric mean inequality. We also extend our results to composite quantum channel discrimination, and show an analogous optimality property of the weighted Kubo-Ando geometric means of two quantum channels, a notion that seems to be new. We extend this concept to defining the notion of superoperator perspective function and establish some of its basic properties, which may be of independent interest.",http://arxiv.org/abs/2503.13379v1,"exponents, error, discrimination, i.i.d, state","Quantum Computing & Information, Mathematical & Theoretical Quantum Physics",2744,2016
TimeZero: Temporal Video Grounding with Reasoning-Guided LVLM,"Ye Wang, Boshen Xu, Zihao Yue, Zihan Xiao, Ziheng Wang, Liang Zhang, Dingyi Yang, Wenxuan Wang, Qin Jin","We introduce TimeZero, a reasoning-guided LVLM designed for the temporal video grounding (TVG) task. This task requires precisely localizing relevant video segments within long videos based on a given language query. TimeZero tackles this challenge by extending the inference process, enabling the model to reason about video-language relationships solely through reinforcement learning. To evaluate the effectiveness of TimeZero, we conduct experiments on two benchmarks, where TimeZero achieves state-of-the-art performance on Charades-STA. Code is available at https://github.com/www-Ye/TimeZero.",http://arxiv.org/abs/2503.13377v1,"lvlm, grounding, reasoning, timezero, video",Machine Learning & AI in Quantum,3015,2019
Approach to equilibrium in Markovian open quantum systems,"Donghao Ouyang, Israel Michael Sigal","In this paper, we study the evolution of Markovian open quantum systems, whose dynamics are governed by the von Neumann-Lindblad equations. Our goal is to prove the return-to-equilibrium property for systems of infinite degrees of freedom under quantum detailed balance condition.",http://arxiv.org/abs/2503.13376v1,"evolution, systems, markovian, quantum, paper","Quantum Computing & Information, Mathematical & Theoretical Quantum Physics",4668,2003
Revival and instabilities of entanglement in monitoring maps with indefinite causal order,"Shahana Aziz, Andr? H. A. Malavazi, Pedro R. Dieguez","In this proceeding, we revisit the discussion presented in Ref. [Commun Phys 7, 373 (2024)], which examines the behavior of a quantum switch involving two arbitrary quantum operations when the control is exposed to environmental effects. Our study extends this analysis by focusing on the evolution of entanglement in the target system within the quantum switch framework, taking into account the influence of environmental conditions and control post-selection. We find that entanglement evolution is highly sensitive to these factors. While entanglement sudden death occurs under definite causal order, indefinite causal order can reverse this loss. We observe entanglement revival in high-temperature regimes and a sudden reappearance of entanglement under weak monitoring conditions at low temperatures. These findings provide insights into the resilience of the quantum switch in the presence of environmental disturbances and highlight its potential for applications where preserving entanglement is essential.",http://arxiv.org/abs/2503.13373v1,"proceeding, commun, discussion, ref, phys",Quantum Computing & Information,1909,2004
SyncDiff: Diffusion-based Talking Head Synthesis with Bottlenecked Temporal Visual Prior for Improved Synchronization,"Xulin Fan, Heting Gao, Ziyi Chen, Peng Chang, Mei Han, Mark Hasegawa-Johnson","Talking head synthesis, also known as speech-to-lip synthesis, reconstructs the facial motions that align with the given audio tracks. The synthesized videos are evaluated on mainly two aspects, lip-speech synchronization and image fidelity. Recent studies demonstrate that GAN-based and diffusion-based models achieve state-of-the-art (SOTA) performance on this task, with diffusion-based models achieving superior image fidelity but experiencing lower synchronization compared to their GAN-based counterparts. To this end, we propose SyncDiff, a simple yet effective approach to improve diffusion-based models using a temporal pose frame with information bottleneck and facial-informative audio features extracted from AVHuBERT, as conditioning input into the diffusion process. We evaluate SyncDiff on two canonical talking head datasets, LRS2 and LRS3 for direct comparison with other SOTA models. Experiments on LRS2/LRS3 datasets show that SyncDiff achieves a synchronization score 27.7%/62.3% relatively higher than previous diffusion-based methods, while preserving their high-fidelity characteristics.",http://arxiv.org/abs/2503.13371v1,"synthesis, speech, head, lip",Quantum Machine Learning,1277,2022
Sightation Counts: Leveraging Sighted User Feedback in Building a BLV-aligned Dataset of Diagram Descriptions,"Wan Ju Kang, Eunki Kim, Na Min An, Sangryul Kim, Haemin Choi, Ki Hoon Kwak, James Thorne","Often, the needs and visual abilities differ between the annotator group and the end user group. Generating detailed diagram descriptions for blind and low-vision (BLV) users is one such challenging domain. Sighted annotators could describe visuals with ease, but existing studies have shown that direct generations by them are costly, bias-prone, and somewhat lacking by BLV standards. In this study, we ask sighted individuals to assess -- rather than produce -- diagram descriptions generated by vision-language models (VLM) that have been guided with latent supervision via a multi-pass inference. The sighted assessments prove effective and useful to professional educators who are themselves BLV and teach visually impaired learners. We release Sightation, a collection of diagram description datasets spanning 5k diagrams and 137k samples for completion, preference, retrieval, question answering, and reasoning training purposes and demonstrate their fine-tuning potential in various downstream tasks.",http://arxiv.org/abs/2503.13369v1,"needs, annotator, abilities, end, group",Machine Learning & AI in Quantum,1538,2006
Exploring new variational quantum circuit ansatzes for solving $SU(2)$ matrix models,H. L. Dao,"In this work, we explored and experimented with new forms of parameterized quantum circuits to be used as variational ansatzes for solving the bosonic and supersymmetric $SU(2)$ matrix models at different couplings using the Variational Quantum Eigensolver (VQE) algorithm. Working with IBM Qiskit quantum computing platform, we show that two types of quantum circuits named \texttt{TwoLocal} and \texttt{EvolvedOperatorAnsatz} can outperform the popular \texttt{EfficientSU2} circuits which have been routinely used in the recent quantum physics literature to run VQE. With their more customizable constructions that allow for more flexibility beyond choosing the types of parameterized rotation gates, both types of new circuit ansatzes used in this work have led to performances that are either better than or at least comparable to \texttt{EfficientSU2} in the setting of $SU(2)$ matrix models. In particular, in the strong coupling regimes of the bosonic model, both \texttt{TwoLocal} and \texttt{EvolvedOperatorAnsatz} circuits provided a better approximation to the exact ground states, while in the supersymmetric model, shallow \texttt{EvolvedOperatorAnsatz} circuits with small a number of parameters, attained a comparable albeit not as good performance as the much deeper \texttt{EfficientSU2} circuits with around 8 to 9 times more parameters. The results of this work demonstrate conclusively the potential of \texttt{TwoLocal} and \texttt{EvolvedOperatorAnsatz} quantum circuits as efficient new types of variational ansatzes that should be considered more frequently in future VQE studies of quantum physics systems.",http://arxiv.org/abs/2503.13368v1,"ansatzes, circuits, forms, work, quantum",Quantum Computing & Information,3212,2012
Follow-the-Regularized-Leader with Adversarial Constraints,"Ricardo N. Ferreira, Cl?udia Soares","Constrained Online Convex Optimization (COCO) can be seen as a generalization of the standard Online Convex Optimization (OCO) framework. At each round, a cost function and constraint function are revealed after a learner chooses an action. The goal is to minimize both the regret and cumulative constraint violation (CCV) against an adaptive adversary. We show for the first time that is possible to obtain the optimal $O(\sqrt{T})$ bound on both regret and CCV, improving the best known bounds of $O \left( \sqrt{T} \right)$ and $\~{O} \left( \sqrt{T} \right)$ for the regret and CCV, respectively.",http://arxiv.org/abs/2503.13366v1,"optimization, coco, constrained, online, convex",Quantum Machine Learning,3566,2014
Demonstration of a Tunable Non-Hermitian Nonlinear Microwave Dimer,"Juan S. Salcedo-Gallo, Michiel Burgelman, Vincent P. Flynn, Alexander S. Carney, Majd Hamdan, Tunmay Gerg, Daniel C. Smallwood, Lorenza Viola, Mattias Fitzpatrick","Achieving and controlling non-reciprocity in engineered photonic structures is of fundamental interest in science and engineering. Here, we introduce a tunable, non-Hermitian, nonlinear microwave dimer designed to precisely implement phase-non-reciprocal hopping dynamics between two spatially separated cavities at room temperature. Our system incorporates simple components such as three-dimensional microwave cavities, unidirectional amplifiers, digital attenuators, and a digital phase shifter. By dividing the energy transfer into forward and backward paths, our platform enables precise control over the amplitude and phase of the propagating signals in each direction. Through a combination of theoretical and numerical analysis, we model the dynamics of the system under different operating conditions, including a parameter regime where the gain not only compensates for but significantly exceeds the inherent loss. Our model quantitatively reproduces the observed weak-drive transmission spectra, the amplitude and frequency of self-sustained limit cycles, and the synchronization effect between the limit cycle and an external microwave tone. Our results may have implications in areas ranging from sensing and synthetic photonic materials to neuromorphic computing and quantum networks, while providing new insight into the interplay between non-Hermitian and nonlinear dynamics.",http://arxiv.org/abs/2503.13364v1,"science, interest, structures, engineering, reciprocity",Quantum Computing & Information,3900,2010
Mitigating Visual Forgetting via Take-along Visual Conditioning for Multi-modal Long CoT Reasoning,"Hai-Long Sun, Zhun Sun, Houwen Peng, Han-Jia Ye","Recent advancements in Large Language Models (LLMs) have demonstrated enhanced reasoning capabilities, evolving from Chain-of-Thought (CoT) prompting to advanced, product-oriented solutions like OpenAI o1. During our re-implementation of this model, we noticed that in multimodal tasks requiring visual input (e.g., geometry problems), Multimodal LLMs (MLLMs) struggle to maintain focus on the visual information, in other words, MLLMs suffer from a gradual decline in attention to visual information as reasoning progresses, causing text-over-relied outputs. To investigate this, we ablate image inputs during long-chain reasoning. Concretely, we truncate the reasoning process midway, then re-complete the reasoning process with the input image removed. We observe only a ~2% accuracy drop on MathVista's test-hard subset, revealing the model's textual outputs dominate the following reasoning process. Motivated by this, we propose Take-along Visual Conditioning (TVC), a strategy that shifts image input to critical reasoning stages and compresses redundant visual tokens via dynamic pruning. This methodology helps the model retain attention to the visual components throughout the reasoning. Our approach achieves state-of-the-art performance on average across five mathematical reasoning benchmarks (+3.4% vs previous sota), demonstrating the effectiveness of TVC in enhancing multimodal reasoning systems.",http://arxiv.org/abs/2503.13360v1,"advancements, models, llms, language, large","Machine Learning & AI in Quantum, Quantum Machine Learning",656,2003
Agents Play Thousands of 3D Video Games,"Zhongwen Xu, Xianliang Wang, Siyi Li, Tao Yu, Liang Wang, Qiang Fu, Wei Yang","We present PORTAL, a novel framework for developing artificial intelligence agents capable of playing thousands of 3D video games through language-guided policy generation. By transforming decision-making problems into language modeling tasks, our approach leverages large language models (LLMs) to generate behavior trees represented in domain-specific language (DSL). This method eliminates the computational burden associated with traditional reinforcement learning approaches while preserving strategic depth and rapid adaptability. Our framework introduces a hybrid policy structure that combines rule-based nodes with neural network components, enabling both high-level strategic reasoning and precise low-level control. A dual-feedback mechanism incorporating quantitative game metrics and vision-language model analysis facilitates iterative policy improvement at both tactical and strategic levels. The resulting policies are instantaneously deployable, human-interpretable, and capable of generalizing across diverse gaming environments. Experimental results demonstrate PORTAL's effectiveness across thousands of first-person shooter (FPS) games, showcasing significant improvements in development efficiency, policy generalization, and behavior diversity compared to traditional approaches. PORTAL represents a significant advancement in game AI development, offering a practical solution for creating sophisticated agents that can operate across thousands of commercial video games with minimal development overhead. Experiment results on the 3D video games are best viewed on https://zhongwen.one/projects/portal .",http://arxiv.org/abs/2503.13356v1,"agents, intelligence, thousands, framework, portal",Quantum Machine Learning,2898,2012
Strain Problems got you in a Twist? Try StrainRelief: A Quantum-Accurate Tool for Ligand Strain Calculations,"Ewan R. S. Wallace, Nathan C. Frey, Joshua A. Rackers","Ligand strain energy, the energy difference between the bound and unbound conformations of a ligand, is an important component of structure-based small molecule drug design. A large majority of observed ligands in protein-small molecule co-crystal structures bind in low-strain conformations, making strain energy a useful filter for structure-based drug design. In this work we present a tool for calculating ligand strain with a high accuracy. StrainRelief uses a MACE Neural Network Potential (NNP), trained on a large database of Density Functional Theory (DFT) calculations to estimate ligand strain of neutral molecules with quantum accuracy. We show that this tool estimates strain energy differences relative to DFT to within 1.4 kcal/mol, more accurately than alternative NNPs. These results highlight the utility of NNPs in drug discovery, and provide a useful tool for drug discovery teams.",http://arxiv.org/abs/2503.13352v1,"difference, ligand, energy, conformations",Quantum Machine Learning,2445,2006
"Scalable Runtime Architecture for Data-driven, Hybrid HPC and ML Workflow Applications","Andre Merzky, Mikhail Titov, Matteo Turilli, Ozgur Kilic, Tianle Wang, Shantenu Jha","Hybrid workflows combining traditional HPC and novel ML methodologies are transforming scientific computing. This paper presents the architecture and implementation of a scalable runtime system that extends RADICAL-Pilot with service-based execution to support AI-out-HPC workflows. Our runtime system enables distributed ML capabilities, efficient resource management, and seamless HPC/ML coupling across local and remote platforms. Preliminary experimental results show that our approach manages concurrent execution of ML models across local and remote HPC/cloud resources with minimal architectural overheads. This lays the foundation for prototyping three representative data-driven workflow applications and executing them at scale on leadership-class HPC platforms.",http://arxiv.org/abs/2503.13343v1,"hpc, hybrid, methodologies, computing, ml",Machine Learning & AI in Quantum,610,2018
Valid Text-to-SQL Generation with Unification-based DeepStochLog,"Ying Jiao, Luc De Raedt, Giuseppe Marra","Large language models have been used to translate natural language questions to SQL queries. Without hard constraints on syntax and database schema, they occasionally produce invalid queries that are not executable. These failures limit the usage of these systems in real-life scenarios. We propose a neurosymbolic framework that imposes SQL syntax and schema constraints with unification-based definite clause grammars and thus guarantees the generation of valid queries. Our framework also builds a bi-directional interface to language models to leverage their natural language understanding abilities. The evaluation results on a subset of SQL grammars show that all our output queries are valid. This work is the first step towards extending language models with unification-based grammars. We demonstrate this extension enhances the validity, execution accuracy, and ground truth alignment of the underlying language model by a large margin. Our code is available at https://github.com/ML-KULeuven/deepstochlog-lm.",http://arxiv.org/abs/2503.13342v1,"models, language, sql, questions",Machine Learning & AI in Quantum,2373,2021
Reliable and Efficient Amortized Model-based Evaluation,"Sang Truong, Yuheng Tu, Percy Liang, Bo Li, Sanmi Koyejo","Comprehensive evaluations of language models (LM) during both development and deployment phases are necessary because these models possess numerous capabilities (e.g., mathematical reasoning, legal support, or medical diagnostic) as well as safety risks (e.g., racial bias, toxicity, or misinformation). The average score across a wide range of benchmarks provides a signal that helps guide the use of these LMs in practice. Currently, holistic evaluations are costly due to the large volume of benchmark questions, making frequent evaluations impractical. A popular attempt to lower the cost is to compute the average score on a subset of the benchmark. This approach, unfortunately, often renders an unreliable measure of LM performance because the average score is often confounded with the difficulty of the questions in the benchmark subset. Item response theory (IRT) was designed to address this challenge, providing a reliable measurement by careful controlling for question difficulty. Unfortunately, question difficulty is expensive to estimate. Facing this challenge, we train a model that predicts question difficulty from its content, enabling a reliable measurement at a fraction of the cost. In addition, we leverage this difficulty predictor to further improve the evaluation efficiency through training a question generator given a difficulty level. This question generator is essential in adaptive testing, where, instead of using a random subset of the benchmark questions, informative questions are adaptively chosen based on the current estimation of LLM performance. Experiments on 22 common natural language benchmarks and 172 LMs show that this approach is more reliable and efficient compared to current common practice.",http://arxiv.org/abs/2503.13335v1,"lm, models, language, evaluations, development","Machine Learning & AI in Quantum, Quantum Machine Learning",2071,2001
LEAVS: An LLM-based Labeler for Abdominal CT Supervision,"Ricardo Bigolin Lanfredi, Yan Zhuang, Mark Finkelstein, Praveen Thoppey Srinivasan Balamuralikrishna, Luke Krembs, Brandon Khoury, Arthi Reddy, Pritam Mukherjee, Neil M. Rofsky, Ronald M. Summers","Extracting structured labels from radiology reports has been employed to create vision models to simultaneously detect several types of abnormalities. However, existing works focus mainly on the chest region. Few works have been investigated on abdominal radiology reports due to more complex anatomy and a wider range of pathologies in the abdomen. We propose LEAVS (Large language model Extractor for Abdominal Vision Supervision). This labeler can annotate the certainty of presence and the urgency of seven types of abnormalities for nine abdominal organs on CT radiology reports. To ensure broad coverage, we chose abnormalities that encompass most of the finding types from CT reports. Our approach employs a specialized chain-of-thought prompting strategy for a locally-run LLM using sentence extraction and multiple-choice questions in a tree-based decision system. We demonstrate that the LLM can extract several abnormality types across abdominal organs with an average F1 score of 0.89, significantly outperforming competing labelers and humans. Additionally, we show that extraction of urgency labels achieved performance comparable to human annotations. Finally, we demonstrate that the abnormality labels contain valuable information for training a single vision model that classifies several organs as normal or abnormal. We release our code and structured annotations for a public CT dataset containing over 1,000 CT volumes.",http://arxiv.org/abs/2503.13330v1,"vision, reports, models, radiology, labels",Machine Learning & AI in Quantum,251,2009
"PERC: a suite of software tools for the curation of cryoEM data with application to simulation, modelling and machine learning","Beatriz Costa-Gomes, Joel Greer, Nikolai Juraschko, James Parkhurst, Jola Mirecka, Marjan Famili, Camila Rangel-Smith, Oliver Strickson, Alan Lowe, Mark Basham, Tom Burnley","Ease of access to data, tools and models expedites scientific research. In structural biology there are now numerous open repositories of experimental and simulated datasets. Being able to easily access and utilise these is crucial for allowing researchers to make optimal use of their research effort. The tools presented here are useful for collating existing public cryoEM datasets and/or creating new synthetic cryoEM datasets to aid the development of novel data processing and interpretation algorithms. In recent years, structural biology has seen the development of a multitude of machine-learning based algorithms for aiding numerous steps in the processing and reconstruction of experimental datasets and the use of these approaches has become widespread. Developing such techniques in structural biology requires access to large datasets which can be cumbersome to curate and unwieldy to make use of. In this paper we present a suite of Python software packages which we collectively refer to as PERC (profet, EMPIARreader and CAKED). These are designed to reduce the burden which data curation places upon structural biology research. The protein structure fetcher (profet) package allows users to conveniently download and cleave sequences or structures from the Protein Data Bank or Alphafold databases. EMPIARreader allows lazy loading of Electron Microscopy Public Image Archive datasets in a machine-learning compatible structure. The Class Aggregator for Key Electron-microscopy Data (CAKED) package is designed to seamlessly facilitate the training of machine learning models on electron microscopy data, including electron-cryo-microscopy-specific data augmentation and labelling. These packages may be utilised independently or as building blocks in workflows. All are available in open source repositories and designed to be easily extensible to facilitate more advanced workflows if required.",http://arxiv.org/abs/2503.13329v1,"data, tools, models, ease, access",Quantum Machine Learning,2051,2012
